experiment,interest_score,distance,time_sec,route_length,route_text,yandex_url
user_1_3_military_focus,76,30636.647547068867,27.306629180908203,15,Водонапорная башня завода «Красный гвоздильщик» -> Двухосный полувагон -> М. К. Чюрлёнису -> Место-сюрприз -> Л. В. Щерба -> И. В. Гёте -> Г. И. Турнеру -> Место-сюрприз -> Место-сюрприз -> Е. П. Корчагиной-Александровской -> М. И. Петипа -> А. А. Вермишеву -> Место-сюрприз -> В. Н. Шамову -> Ниеншанц,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9283231,30.2649834~59.9037041,30.2962007~59.9217067,30.2893335~59.9193136,30.2981244~59.9402686,30.2983038~59.9364404,30.3240017~59.9619483,30.3018995~59.948575,30.3171062~59.9486459,30.3177394~59.9291279,30.3361405~59.9303574,30.3357223~59.9643629,30.3100206~59.9618429,30.319234~59.9345835,30.354087~59.9438434,30.4067847~59.935408,30.327108&rtt=pd"
user_1_3_military_focus,75,19014.05349384772,27.306629180908203,15,Водонапорная башня завода «Красный гвоздильщик» -> М. К. Чюрлёнису -> Место-сюрприз -> Л. В. Щерба -> Место-сюрприз -> В. Н. Черниговскому -> Место-сюрприз -> И. В. Гёте -> Г. И. Турнеру -> Место-сюрприз -> Место-сюрприз -> Е. П. Корчагиной-Александровской -> М. И. Петипа -> А. А. Вермишеву -> Место-сюрприз,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9283231,30.2649834~59.9217067,30.2893335~59.9193136,30.2981244~59.9402686,30.2983038~59.9416449,30.2995305~59.9451328,30.2998018~59.9392848,30.3104615~59.9364404,30.3240017~59.9619483,30.3018995~59.948575,30.3171062~59.9486459,30.3177394~59.9291279,30.3361405~59.9303574,30.3357223~59.9643629,30.3100206~59.9618429,30.319234~59.935408,30.327108&rtt=pd"

user_1_4_military_focus,10,2205.7448973807122,26.338998556137085,2,М. В. Захарову -> Отправная точка Гражданской войны в России,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.938068,30.314711~59.9395078,30.3150087~59.935408,30.327108&rtt=pd"
user_1_4_military_focus,76,70401.53006766294,26.338998556137085,15,Часовня святого благоверного князя Игоря Черниговского -> В. И. Ермаку -> Памятник Володе Ермаку -> Место-сюрприз -> Место-сюрприз -> Первый петербургский комитет Почтово-телеграфного союза -> В. В. Конецкому -> Н. А. Римский-Корсаков -> П. П. Мельникову -> М. В. Захарову -> Место-сюрприз -> Место-сюрприз -> Место-сюрприз -> Коту от благодарных исследователей -> Д. Н. Мамину-Сибиряку,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.7183916,30.411235~59.9220163,30.2804829~59.9208308,30.28302~59.9341454,30.2730284~59.934613,30.2786372~59.9241567,30.2898978~59.9309087,30.2899356~59.9264839,30.2971617~59.9242825,30.3173745~59.938068,30.314711~59.9522249,30.3116857~59.9502607,30.3217969~59.9661018,30.3164529~59.9655568,30.3194~59.9410932,30.3571312~59.935408,30.327108&rtt=pd"
user_1_4_military_focus,70,15623.14283560161,26.338998556137085,14,В. И. Ермаку -> Памятник Володе Ермаку -> Место-сюрприз -> Место-сюрприз -> Первый петербургский комитет Почтово-телеграфного союза -> В. В. Конецкому -> Н. А. Римский-Корсаков -> Хо Ши Мин -> П. П. Мельникову -> М. В. Захарову -> Отправная точка Гражданской войны в России -> Место-сюрприз -> Место-сюрприз -> Место-сюрприз,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9220163,30.2804829~59.9208308,30.28302~59.9341454,30.2730284~59.934613,30.2786372~59.9241567,30.2898978~59.9309087,30.2899356~59.9264839,30.2971617~59.9403297,30.298742~59.9242825,30.3173745~59.938068,30.314711~59.9395078,30.3150087~59.9522249,30.3116857~59.9502607,30.3217969~59.9661018,30.3164529~59.935408,30.327108&rtt=pd"

user_2_1_religion_focus,2,1255.6483439250696,25.401726245880127,2,Вышина воды 7го ноября 1824 года -> И. И. Бецкому,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9316327,30.3171609~59.9329937,30.31754~59.935408,30.327108&rtt=pd"
user_2_1_religion_focus,59,37577.391745221496,25.401726245880127,15,Место-сюрприз -> В. В. Набокову -> Вышина воды 7го ноября 1824 года -> И. И. Бецкому -> Памятный знак на месте собора -> Место-сюрприз -> Место-сюрприз -> Памятный камень П.Шпунтенков -> Поперечный канал и «шутишный» мост -> Кофейный домик -> Иридарий -> Растения Северо-запада -> Схема общественного транспорта -> Схема общественного транспорта -> Схема общественного транспорта,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9185778,30.2972209~59.9318236,30.3049746~59.9316327,30.3171609~59.9329937,30.31754~59.9210999,30.3285294~59.9498138,30.3208055~59.9510215,30.3218083~59.9693733,30.3098922~59.9448828,30.3354022~59.9460357,30.3366859~59.9707354,30.321992~59.9690698,30.3263238~59.9281566,30.4126809~59.9282554,30.4126011~59.9221648,30.4199664~59.935408,30.327108&rtt=pd"
user_2_1_religion_focus,54,34471.64057553522,25.401726245880127,14,Место-сюрприз -> В. В. Набокову -> Вышина воды 7го ноября 1824 года -> И. И. Бецкому -> Памятный знак на месте собора -> Место-сюрприз -> Памятный камень П.Шпунтенков -> Поперечный канал и «шутишный» мост -> Кофейный домик -> Иридарий -> Растения Северо-запада -> Схема общественного транспорта -> Схема общественного транспорта -> Схема общественного транспорта,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9185778,30.2972209~59.9318236,30.3049746~59.9316327,30.3171609~59.9329937,30.31754~59.9210999,30.3285294~59.9510215,30.3218083~59.9693733,30.3098922~59.9448828,30.3354022~59.9460357,30.3366859~59.9707354,30.321992~59.9690698,30.3263238~59.9281566,30.4126809~59.9282554,30.4126011~59.9221648,30.4199664~59.935408,30.327108&rtt=pd"
