experiment,interest_score,distance,time_sec,route_length,route_text,yandex_url
user_1_1_military_focus,75,22899.602113710236,20.726287841796875,15,И. И. Мещанинову -> В. В. Бианки -> Место-сюрприз -> Д. Дидро -> Борис Александрович Мыльников -> В. И. Ленин -> Могила Елизаветы Петровны -> Михаил Васильевич Ломоносов -> Л. К. Чуковской и М. П. Бронштейну -> Экспериментальная ракета РЛА-1 с двигателем ОРМ-52 -> Место-сюрприз -> Место-сюрприз -> В. И. Ленину -> Г. И. Невельскому -> Февральская революция,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.936358,30.2855446~59.9478669,30.279624~59.935684,30.3015658~59.9330516,30.3060045~59.9564471,30.3088141~59.9618167,30.3047907~59.9500192,30.3161911~59.9289256,30.334621~59.9264875,30.3428684~59.9518329,30.3209433~59.9604733,30.3203362~59.9325723,30.3504229~59.9453804,30.3543448~59.9465461,30.3633286~59.9482376,30.3760553~59.935408,30.327108&rtt=pd"
user_1_2_military_focus,46,9756.718163518051,14.395835161209106,9,Воинам октябрьской дивизии -> Петру Великому -> А. Мицкевичу -> Н. П. Акимову -> Bach -> Памятник собаке Гаврюше -> В. В. Андрееву -> Дом Крылова -> В. В. Стасову,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9232815,30.3100104~59.9364084,30.3021774~59.928731,30.3101886~59.9361158,30.3149965~59.9365071,30.323466~59.9225094,30.3405666~59.9319016,30.335051~59.9334655,30.3340397~59.9334567,30.3358941~59.935408,30.327108&rtt=pd"
user_1_3_military_focus,60,16282.523249958756,15.814030170440674,12,Памятный знак на месте церкви Покрова Пресвятой Богородицы. -> М. С. Цвету -> И. А. Браудо -> В. В. Петрову -> Эмиль Неллиган -> Д. Трезини -> Место-сюрприз -> Михаил Барклай-де-Толли -> Место-сюрприз -> И. А. Бунину -> Н. В. Баранову -> Е. И. Чарушину,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9184638,30.2893891~59.9226954,30.2868388~59.928581,30.2865648~59.9364791,30.2859534~59.9141094,30.3178114~59.939857,30.2990062~59.9207651,30.3175628~59.9352468,30.3242636~59.9358626,30.3237412~59.931706,30.3349521~59.9423325,30.3297447~59.9304858,30.341301~59.935408,30.327108&rtt=pd"
user_1_4_military_focus,80,23336.176759817827,19.860124826431274,16,А. А. Короткову -> В. Д. Корчмину -> А. В. Ферсману -> В. А. Стеклову -> Место-сюрприз -> Адмиралтейскому каналу -> Р. Р. Баху -> И. Е. Репин -> К. Ф. Рылееву -> А. Н. Толстому -> Место-сюрприз -> А. А. Собчаку -> Могила Елизаветы Петровны -> В. В. Андрееву -> 4-й дивизии Народного ополчения -> К. Ф. Рылееву,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9386349,30.2796237~59.9411286,30.280629~59.9363307,30.2854341~59.9364886,30.2860106~59.924026,30.2984668~59.9314414,30.292259~59.9451325,30.2833197~59.9379499,30.2922873~59.930927,30.3071143~59.9529199,30.2894664~59.9271008,30.3242725~59.9412435,30.3199311~59.9500192,30.3161911~59.9319016,30.335051~59.9452711,30.3287865~59.9425002,30.3506582~59.935408,30.327108&rtt=pd"

user_2_1_religion_focus,16,5761.181504948503,8.886344194412231,4,А. С. Грибоедову -> Место-сюрприз -> Место-сюрприз -> Кофейный домик,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9358706,30.3174456~59.9531712,30.3203846~59.9469229,30.3358901~59.9460357,30.3366859~59.935408,30.327108&rtt=pd"
user_2_2_religion_focus,16,4072.5243031166856,8.805104732513428,4,И. В. Ершову -> Элементы регулярной планировки Летнего сада -> Берсо -> Боскет «Птичий двор»,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9360675,30.3109788~59.9449403,30.3344899~59.9453178,30.3343717~59.9462482,30.3343901~59.935408,30.327108&rtt=pd"
user_2_3_religion_focus,7,2986.17353438861,8.709202766418457,3,Место-сюрприз -> Место-сюрприз -> В. М. Саянову,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9309411,30.3087687~59.9419524,30.3142445~59.9378258,30.32601~59.935408,30.327108&rtt=pd"
user_2_4_religion_focus,16,5516.427463805747,9.83209753036499,4,Место-сюрприз -> Место-сюрприз -> Парадный партер и Коронный фонтан -> Место-сюрприз,"https://yandex.ru/maps/?mode=routes&rtext=59.927085,30.317504~59.9494984,30.3188632~59.9510477,30.321646~59.946206,30.3336133~59.9445939,30.3410082~59.935408,30.327108&rtt=pd"
